sin(x),cos(x)
sin(2.410) = 0.668,cos(2.410) = -0.744
sin(2.420) = 0.661,cos(2.420) = -0.751
sin(2.430) = 0.653,cos(2.430) = -0.757
sin(2.440) = 0.645,cos(2.440) = -0.764
sin(2.450) = 0.638,cos(2.450) = -0.770
sin(2.460) = 0.630,cos(2.460) = -0.777
sin(2.470) = 0.622,cos(2.470) = -0.783
sin(2.480) = 0.614,cos(2.480) = -0.789
sin(2.490) = 0.606,cos(2.490) = -0.795
sin(2.500) = 0.598,cos(2.500) = -0.801
sin(2.510) = 0.590,cos(2.510) = -0.807
sin(2.520) = 0.582,cos(2.520) = -0.813
sin(2.530) = 0.574,cos(2.530) = -0.819
sin(2.540) = 0.566,cos(2.540) = -0.824
sin(2.550) = 0.558,cos(2.550) = -0.830
sin(2.560) = 0.549,cos(2.560) = -0.836
sin(2.570) = 0.541,cos(2.570) = -0.841
sin(2.580) = 0.533,cos(2.580) = -0.846
sin(2.590) = 0.524,cos(2.590) = -0.852
sin(2.600) = 0.516,cos(2.600) = -0.857
sin(2.610) = 0.507,cos(2.610) = -0.862
sin(2.620) = 0.498,cos(2.620) = -0.867
sin(2.630) = 0.490,cos(2.630) = -0.872
sin(2.640) = 0.481,cos(2.640) = -0.877
sin(2.650) = 0.472,cos(2.650) = -0.882
sin(2.660) = 0.463,cos(2.660) = -0.886
sin(2.670) = 0.454,cos(2.670) = -0.891
sin(2.680) = 0.445,cos(2.680) = -0.895
sin(2.690) = 0.436,cos(2.690) = -0.900
sin(2.700) = 0.427,cos(2.700) = -0.904
sin(2.710) = 0.418,cos(2.710) = -0.908
sin(2.720) = 0.409,cos(2.720) = -0.912
sin(2.730) = 0.400,cos(2.730) = -0.916
sin(2.740) = 0.391,cos(2.740) = -0.920
sin(2.750) = 0.382,cos(2.750) = -0.924
sin(2.760) = 0.372,cos(2.760) = -0.928
sin(2.770) = 0.363,cos(2.770) = -0.932
sin(2.780) = 0.354,cos(2.780) = -0.935
sin(2.790) = 0.344,cos(2.790) = -0.939
sin(2.800) = 0.335,cos(2.800) = -0.942
sin(2.810) = 0.326,cos(2.810) = -0.946
sin(2.820) = 0.316,cos(2.820) = -0.949
sin(2.830) = 0.307,cos(2.830) = -0.952
sin(2.840) = 0.297,cos(2.840) = -0.955
sin(2.850) = 0.287,cos(2.850) = -0.958
sin(2.860) = 0.278,cos(2.860) = -0.961
sin(2.870) = 0.268,cos(2.870) = -0.963
sin(2.880) = 0.259,cos(2.880) = -0.966
sin(2.890) = 0.249,cos(2.890) = -0.969
sin(2.900) = 0.239,cos(2.900) = -0.971
sin(2.910) = 0.230,cos(2.910) = -0.973
sin(2.920) = 0.220,cos(2.920) = -0.976
sin(2.930) = 0.210,cos(2.930) = -0.978
sin(2.940) = 0.200,cos(2.940) = -0.980
sin(2.950) = 0.190,cos(2.950) = -0.982
sin(2.960) = 0.181,cos(2.960) = -0.984
sin(2.970) = 0.171,cos(2.970) = -0.985
sin(2.980) = 0.161,cos(2.980) = -0.987
sin(2.990) = 0.151,cos(2.990) = -0.989
sin(3.000) = 0.141,cos(3.000) = -0.990
sin(3.010) = 0.131,cos(3.010) = -0.991
sin(3.020) = 0.121,cos(3.020) = -0.993
sin(3.030) = 0.111,cos(3.030) = -0.994
sin(3.040) = 0.101,cos(3.040) = -0.995
sin(3.050) = 0.091,cos(3.050) = -0.996
sin(3.060) = 0.082,cos(3.060) = -0.997
sin(3.070) = 0.072,cos(3.070) = -0.997
sin(3.080) = 0.062,cos(3.080) = -0.998
sin(3.090) = 0.052,cos(3.090) = -0.999
sin(3.100) = 0.042,cos(3.100) = -0.999
sin(3.110) = 0.032,cos(3.110) = -1.000
